"...1","call","race","education","yearsexp","computerskills"
3832,0,"w",4,26,0
4720,0,"w",4,3,0
3800,0,"b",4,13,1
4336,1,"b",4,8,1
3704,0,"w",4,3,1
2203,0,"b",3,4,1
2206,0,"b",4,7,1
1240,0,"b",4,7,1
3705,0,"b",4,7,1
2905,0,"w",3,6,1
477,1,"b",4,5,1
3514,0,"b",4,6,1
3380,0,"b",4,7,1
4652,0,"b",3,8,1
4509,0,"w",3,2,1
527,0,"w",3,8,1
621,0,"b",4,5,1
962,0,"w",4,14,1
4540,0,"w",4,4,1
1617,0,"b",4,13,1
2577,0,"b",4,8,1
1979,0,"w",4,5,1
2884,1,"w",4,4,0
543,0,"w",4,6,1
3277,1,"b",4,7,0
1176,0,"w",4,8,1
651,0,"b",4,6,1
3374,0,"w",4,3,1
4140,0,"b",3,13,1
3469,0,"w",4,8,1
843,0,"b",4,7,0
4701,0,"b",2,6,1
3648,0,"w",4,5,1
4467,0,"w",4,7,1
2167,0,"b",4,2,1
117,0,"w",3,5,1
1607,0,"b",3,4,1
585,0,"b",1,10,0
4348,0,"b",4,8,1
3000,0,"b",4,8,1
4559,1,"w",4,5,1
2081,0,"b",4,10,1
1206,0,"b",4,6,1
367,0,"b",4,7,0
1415,0,"w",4,8,1
4125,0,"w",4,2,1
2681,0,"b",4,13,1
141,0,"w",2,6,1
880,0,"w",3,5,0
600,0,"b",3,13,1
2988,0,"w",4,11,1
171,0,"b",2,6,1
4134,0,"b",2,18,0
4588,0,"w",4,2,1
3875,0,"w",4,14,1
2041,0,"w",4,11,1
4812,0,"w",4,2,1
2786,0,"b",3,16,1
1735,0,"b",3,6,1
634,0,"b",4,6,1
3633,0,"w",4,7,1
2275,0,"b",4,18,1
156,0,"w",4,7,1
2251,0,"b",4,5,1
3269,0,"b",0,4,1
794,0,"w",4,6,1
3856,0,"b",4,7,0
1029,0,"w",4,6,1
3357,0,"b",3,5,1
315,0,"w",3,5,1
2945,0,"w",2,6,1
1110,0,"w",4,4,1
212,0,"b",4,5,1
1763,0,"w",4,5,1
606,0,"w",3,6,1
3440,0,"w",3,8,1
2802,0,"w",4,5,1
2355,0,"b",4,7,0
352,0,"w",4,6,1
2135,0,"b",4,5,1
4722,0,"w",4,3,1
776,0,"b",4,5,1
195,0,"w",4,26,0
107,0,"b",4,6,1
728,0,"b",4,14,1
2434,0,"w",4,7,0
3026,0,"b",4,14,1
3641,0,"w",3,4,1
917,0,"b",4,4,1
3978,0,"b",4,3,1
3005,0,"b",4,6,1
4263,0,"b",2,5,1
