"...1","call","race","education","yearsexp","computerskills"
4194,1,"w",2,7,0
127,1,"b",4,9,1
4834,0,"b",4,14,1
3762,0,"b",4,4,1
4367,0,"b",4,26,0
1476,0,"b",4,7,1
2158,0,"w",4,8,1
312,0,"w",4,5,1
3276,1,"w",4,6,0
2719,0,"w",4,7,0
1479,0,"b",3,6,1
775,0,"w",4,5,1
665,0,"w",4,3,1
3569,0,"b",4,2,1
361,0,"w",4,8,0
4713,0,"b",4,6,0
1816,1,"b",4,7,1
1879,0,"b",3,5,1
1743,0,"b",3,7,1
737,0,"w",3,4,1
3933,0,"w",4,5,1
4453,0,"b",3,7,1
3937,0,"w",3,4,1
3817,0,"b",4,8,1
3458,0,"b",4,2,1
490,0,"w",4,11,1
2853,0,"w",4,2,1
783,0,"b",4,3,1
2840,0,"b",4,7,1
2242,0,"w",4,7,1
834,0,"w",4,2,1
169,1,"w",4,6,1
3851,0,"w",4,10,1
75,0,"w",3,3,1
1164,1,"w",4,9,1
3256,0,"w",4,2,1
4765,0,"w",4,5,1
4602,0,"w",4,8,0
1796,0,"w",4,4,1
2513,0,"w",4,6,1
164,0,"w",4,2,1
897,0,"b",4,6,1
3127,0,"w",4,6,1
4227,0,"w",4,4,1
1044,0,"b",3,1,1
2452,0,"b",4,10,1
1838,0,"w",3,5,1
3426,0,"b",3,4,1
4482,0,"w",4,4,0
2870,0,"w",4,4,0
474,0,"b",4,19,1
1998,0,"b",4,13,1
2586,0,"b",4,2,1
1999,0,"w",4,7,0
4513,0,"b",4,5,1
1404,0,"b",4,26,0
1942,0,"b",4,15,1
3982,0,"b",4,7,1
4330,0,"w",4,5,1
3016,0,"w",4,8,0
4590,0,"b",4,8,1
949,0,"b",0,2,1
4497,0,"b",4,3,1
606,0,"w",3,6,1
830,0,"w",4,2,1
1921,0,"w",3,8,1
2899,0,"w",4,8,1
867,0,"w",3,4,1
3096,1,"b",4,5,1
2661,0,"b",3,16,1
1506,0,"b",4,14,1
515,0,"w",4,7,1
1092,0,"b",4,5,1
1361,0,"w",4,11,1
1045,0,"w",3,4,1
2792,0,"b",4,2,1
1661,0,"w",4,8,1
3570,0,"w",4,6,1
1220,0,"w",4,5,1
3796,0,"b",3,3,1
3533,0,"b",4,6,1
3484,0,"w",4,8,1
2024,0,"b",3,10,1
884,0,"b",4,7,1
2755,0,"w",4,14,1
4773,0,"w",3,3,0
3039,0,"w",4,2,1
3678,0,"b",4,4,1
3046,0,"b",4,6,1
650,0,"w",4,11,1
68,0,"w",3,4,1
4237,0,"b",4,5,1
2728,0,"w",4,8,0
4703,0,"b",4,6,1
1658,0,"w",4,8,1
239,0,"w",3,5,1
4527,0,"w",4,6,1
355,0,"b",4,6,1
4315,0,"b",4,4,1
3077,0,"b",4,14,1
412,0,"b",3,16,1
1905,0,"b",4,8,0
3811,1,"w",4,8,1
2905,0,"w",3,6,1
1125,0,"b",4,5,1
2837,0,"w",4,8,1
3915,0,"w",4,4,1
2243,0,"w",3,9,1
4381,0,"w",4,2,1
185,0,"b",4,8,1
986,0,"b",4,11,1
2619,0,"b",3,13,1
456,0,"w",4,6,1
555,0,"w",4,6,1
1107,0,"w",4,11,1
1226,0,"b",3,8,1
2458,0,"w",4,26,0
386,0,"b",4,20,0
151,0,"w",4,6,1
520,0,"b",3,6,1
407,0,"w",4,7,0
1464,0,"b",4,7,1
4226,0,"b",4,5,1
2444,0,"b",4,14,1
4818,0,"w",4,2,1
951,0,"b",4,6,1
3148,0,"b",4,18,1
1784,0,"b",4,13,1
846,0,"b",4,8,1
3887,0,"b",4,8,1
1289,0,"w",2,19,0
285,0,"b",4,4,1
4166,0,"b",4,2,1
4477,0,"w",3,1,1
3423,0,"w",4,3,1
2685,0,"b",3,13,1
1817,0,"b",0,4,1
1929,0,"b",4,8,1
2658,0,"b",4,7,0
4400,0,"b",3,13,1
2193,0,"b",4,11,1
2941,0,"w",2,9,1
3948,0,"b",3,5,1
1293,0,"b",4,14,1
2831,0,"w",4,5,1
3893,0,"w",4,6,1
516,0,"b",4,5,1
5,0,"w",3,22,1
1056,0,"b",4,15,1
1152,0,"b",4,8,1
2697,1,"w",4,7,0
89,0,"w",4,2,1
1341,0,"b",4,5,1
1304,0,"b",3,1,1
2205,1,"w",3,16,1
661,0,"w",4,6,1
291,0,"b",4,6,0
2597,0,"w",4,2,1
3114,0,"b",4,7,0
2338,0,"w",4,6,1
3413,0,"b",4,4,1
2264,0,"b",4,14,1
2112,0,"b",4,14,1
2656,0,"w",4,7,0
353,0,"b",4,8,0
670,0,"b",4,4,1
4102,0,"b",4,8,1
1934,0,"b",2,13,1
3026,0,"b",4,14,1
62,0,"w",3,5,1
710,0,"b",4,7,0
390,0,"b",4,13,1
1895,0,"b",4,8,1
1607,0,"b",3,4,1
2068,0,"b",4,8,1
837,0,"w",4,7,0
3935,0,"b",4,12,1
4187,0,"b",4,4,1
393,0,"w",3,4,1
4082,0,"w",4,4,1
1788,0,"b",2,7,1
3376,0,"b",4,3,1
3350,0,"w",4,2,1
3277,1,"b",4,7,0
4853,0,"w",3,13,1
3294,0,"b",4,6,0
1286,0,"b",3,5,0
4552,0,"w",4,6,1
309,0,"w",4,4,1
1084,0,"w",4,4,1
174,0,"w",4,8,1
311,0,"w",4,5,1
4650,0,"w",4,7,1
4454,0,"b",4,5,0
743,0,"b",4,4,1
2407,0,"b",4,6,1
2898,0,"b",3,3,1
1131,0,"b",2,9,1
3576,0,"b",4,7,0
17,0,"w",4,5,0
3782,0,"b",4,4,1
2918,0,"b",3,8,1
303,0,"b",4,5,1
531,0,"w",3,6,1
4058,0,"w",3,16,1
3140,0,"b",4,7,0
605,0,"b",3,6,1
4049,0,"w",4,11,1
1419,0,"w",3,26,1
251,0,"w",4,16,1
732,0,"w",4,8,1
4824,0,"b",3,7,1
4519,0,"b",3,16,1
1630,0,"b",4,6,1
1205,0,"w",3,7,1
3637,1,"b",4,9,1
435,0,"b",4,7,0
4692,0,"w",4,23,1
726,0,"b",4,7,0
2967,0,"w",4,6,1
3156,0,"w",4,3,1
2751,1,"b",3,2,1
1073,0,"w",2,4,1
4253,0,"w",4,5,0
369,0,"b",4,6,1
3809,0,"w",4,7,0
3985,0,"w",2,19,1
1948,0,"b",4,19,1
4679,1,"b",4,19,1
2142,0,"w",4,6,1
2865,0,"w",4,10,1
740,0,"b",4,10,1
524,0,"b",4,6,1
2321,0,"b",4,11,1
547,0,"w",4,2,1
4190,0,"b",4,8,1
1417,0,"b",3,2,1
2514,0,"w",4,8,1
4007,1,"w",4,3,1
3543,0,"b",4,7,0
1728,0,"b",3,6,1
3468,0,"w",4,9,1
2975,0,"b",4,6,1
313,0,"b",4,5,1
4782,0,"b",4,2,0
601,1,"w",4,13,0
1039,0,"w",3,16,1
4123,0,"b",4,8,1
167,0,"b",4,10,0
1024,0,"b",4,6,1
2974,0,"b",4,6,1
3960,0,"b",4,7,1
691,0,"w",2,6,1
329,0,"b",3,2,1
3302,0,"b",3,5,1
3643,0,"b",4,4,1
1610,0,"b",3,6,1
4783,1,"w",3,18,1
1232,0,"b",4,3,1
2816,0,"b",3,21,1
1140,0,"b",4,8,1
4370,1,"w",4,7,0
3763,0,"w",3,3,1
3188,0,"w",4,8,1
368,0,"b",4,8,0
1885,0,"w",4,10,1
609,0,"w",4,11,1
4555,0,"w",4,5,1
1097,0,"b",4,6,1
1269,0,"w",4,8,1
600,0,"b",3,13,1
4829,0,"b",4,6,1
939,0,"w",4,4,1
401,0,"b",4,7,0
2630,0,"b",4,6,1
2102,0,"w",3,4,1
380,0,"b",4,7,0
4204,0,"w",4,13,1
184,0,"w",4,18,1
4085,1,"b",3,8,0
1090,0,"w",3,5,1
1638,0,"w",4,8,1
3004,0,"b",4,2,1
1869,0,"w",3,2,1
2617,0,"w",3,4,1
2711,0,"w",4,8,1
4030,0,"b",4,4,0
4785,0,"w",4,6,1
639,0,"w",4,4,1
2641,0,"b",4,6,1
171,0,"b",2,6,1
1439,0,"w",3,4,1
3582,0,"b",4,2,1
2577,0,"b",4,8,1
3507,0,"b",4,14,1
539,0,"w",3,3,1
811,0,"w",3,6,1
3939,0,"w",0,5,1
2914,0,"b",4,4,1
872,0,"b",4,7,1
1962,0,"w",4,7,1
2505,0,"b",4,7,1
4214,0,"b",4,15,1
805,0,"b",4,10,1
1845,0,"b",4,5,1
4719,0,"b",4,3,1
1120,0,"w",4,14,1
420,0,"b",3,7,1
1385,0,"b",4,2,1
3232,0,"b",4,6,1
1174,0,"w",3,2,1
1106,0,"b",4,6,1
3349,1,"w",4,6,1
2055,0,"w",3,3,1
4445,0,"w",4,14,1
3862,0,"b",4,8,1
2984,0,"w",4,6,1
772,0,"w",3,8,1
893,0,"b",3,7,1
510,0,"w",4,4,1
3092,0,"b",4,9,1
2884,1,"w",4,4,0
1218,0,"b",3,6,1
587,0,"w",4,10,1
749,0,"w",4,4,1
3297,0,"w",3,9,1
3125,0,"w",4,5,1
1818,0,"w",4,4,0
782,0,"w",4,6,1
4663,0,"w",4,5,1
2769,0,"w",0,4,1
4059,0,"b",4,4,1
4411,0,"b",4,4,1
1055,0,"w",4,5,1
2230,0,"b",3,13,1
4235,0,"b",4,6,1
2797,0,"w",3,6,1
4831,0,"w",3,4,1
4416,0,"b",4,2,1
538,0,"b",4,5,1
1423,0,"b",3,2,0
936,0,"w",4,4,1
2525,0,"b",4,8,1
586,0,"w",2,8,0
4036,0,"b",4,6,0
990,0,"w",4,15,1
2190,0,"w",4,8,1
1760,0,"b",4,11,1
1018,0,"b",4,8,1
818,0,"b",4,16,1
436,0,"b",3,16,1
3368,0,"w",4,7,1
1085,0,"w",4,5,1
1615,0,"w",4,7,1
3752,0,"b",4,6,1
4274,0,"w",4,3,1
4508,0,"b",3,4,1
992,0,"b",4,5,1
2375,0,"w",4,7,0
1950,0,"b",4,6,1
4485,0,"b",4,9,1
3284,0,"b",4,12,1
186,0,"b",4,10,1
831,0,"w",4,2,1
1945,0,"w",4,21,1
3032,0,"w",3,16,1
962,0,"w",4,14,1
1565,0,"b",3,7,1
3551,0,"b",4,8,1
2852,0,"b",4,4,0
1824,0,"w",4,1,1
3027,0,"w",4,9,1
452,0,"b",4,5,1
1210,0,"b",4,21,1
4115,0,"b",2,16,1
802,0,"w",4,7,1
3040,0,"w",4,13,1
260,1,"b",4,3,1
4792,0,"w",2,5,0
898,1,"w",4,5,1
2673,0,"w",3,26,1
2246,0,"w",3,7,1
641,0,"w",4,6,1
209,0,"b",3,3,1
2668,0,"w",3,5,0
721,0,"w",4,6,1
3666,0,"b",4,11,1
4178,0,"b",3,6,1
379,0,"w",2,16,1
791,0,"w",4,9,1
3775,0,"w",4,3,1
4331,0,"b",4,21,1
4345,0,"b",4,14,1
1695,1,"w",3,4,1
1894,0,"w",4,5,1
4015,0,"w",4,6,1
4327,0,"b",4,19,1
1553,0,"w",3,4,1
2340,0,"w",4,6,1
689,0,"w",4,6,1
2949,0,"w",4,14,1
1457,0,"w",4,7,1
3971,0,"b",3,7,0
4326,0,"b",4,9,1
1889,0,"b",3,4,1
3291,0,"w",3,7,1
4016,0,"b",4,6,1
2416,0,"w",3,4,1
4570,0,"b",4,8,1
4209,0,"w",3,21,1
1943,0,"w",4,13,1
1112,0,"b",4,4,1
2766,0,"b",3,6,1
1767,0,"b",4,5,1
472,0,"b",3,11,1
