"...1","call","race","education","yearsexp","computerskills"
3134,0,"w",4,26,0
2590,0,"w",4,6,1
4328,0,"b",2,1,0
86,1,"w",2,7,1
3006,0,"b",4,18,1
3909,0,"b",4,10,1
2639,0,"w",4,6,1
2131,0,"w",4,4,1
297,0,"w",4,7,1
2178,0,"w",4,8,0
4437,0,"b",4,7,1
4161,0,"w",4,7,0
19,0,"w",4,6,0
3260,0,"w",4,26,0
1444,0,"b",3,13,1
2279,0,"w",4,8,1
4721,0,"w",4,6,1
2124,0,"b",4,6,1
272,1,"b",4,6,1
2636,0,"w",4,6,1
984,0,"b",2,4,1
3318,0,"w",4,21,1
3731,0,"w",2,6,0
2928,0,"w",4,12,1
1595,0,"b",3,9,1
4014,0,"b",4,7,1
734,0,"w",4,11,1
1513,0,"b",3,3,1
1948,0,"b",4,19,1
4345,0,"b",4,14,1
3565,0,"b",4,14,1
4404,1,"b",4,18,1
531,0,"w",3,6,1
4226,0,"b",4,5,1
1958,0,"w",3,9,1
539,0,"w",3,3,1
2582,0,"b",4,8,1
706,0,"w",4,6,1
2152,0,"b",3,6,1
1723,0,"w",4,3,1
109,0,"b",4,6,0
11,0,"b",4,8,1
4389,0,"w",4,8,1
655,0,"w",4,6,1
3218,0,"w",4,7,0
2982,0,"b",4,7,0
4312,0,"b",4,8,0
1648,0,"w",3,6,1
1945,0,"w",4,21,1
99,0,"b",4,3,1
248,1,"w",4,10,1
3058,0,"b",4,26,0
4148,0,"b",4,8,0
1376,0,"b",4,8,0
2028,0,"b",4,15,1
2567,0,"b",4,14,1
4577,0,"b",4,6,1
3882,0,"w",4,18,1
1772,0,"w",4,4,1
1291,0,"b",4,5,1
3171,0,"w",1,10,0
4749,0,"b",4,1,1
3823,0,"b",4,8,0
3988,0,"b",4,3,1
2465,0,"w",3,26,1
907,0,"w",3,11,1
3646,1,"b",4,11,1
4494,0,"w",4,5,1
4534,0,"b",3,3,1
4484,0,"w",4,5,1
2712,0,"w",4,6,1
4728,0,"w",4,2,1
4167,0,"w",4,8,1
4557,0,"b",4,15,1
3549,0,"w",4,2,1
1942,0,"b",4,15,1
1083,0,"b",4,5,1
4122,0,"b",4,6,1
4774,0,"b",4,9,1
94,0,"b",4,2,1
3693,1,"w",4,8,1
1776,0,"b",3,18,1
4849,1,"b",4,8,1
1106,0,"b",4,6,1
2192,0,"b",4,7,0
600,0,"b",3,13,1
1223,0,"w",4,7,1
2327,1,"b",4,6,1
1410,1,"b",3,4,1
434,0,"w",4,5,1
2115,0,"w",4,6,1
3170,0,"w",4,6,1
4113,0,"b",4,8,1
2449,0,"b",4,18,1
1714,0,"b",3,26,1
173,0,"b",4,14,1
3558,0,"b",4,26,0
1885,0,"w",4,10,1
3921,0,"b",0,5,1
4864,0,"w",2,16,1
2640,0,"b",4,6,1
1119,0,"b",4,6,1
515,0,"w",4,7,1
344,0,"w",3,16,1
3835,0,"w",4,8,1
3174,0,"w",4,7,0
2814,0,"w",4,19,1
713,0,"b",4,8,1
4233,0,"w",4,6,1
2846,1,"w",2,13,0
2282,0,"w",4,7,0
3088,0,"b",4,8,1
2949,0,"w",4,14,1
2648,0,"b",4,6,1
2955,0,"b",4,8,1
4764,0,"b",4,5,1
2177,0,"w",4,6,1
170,0,"w",4,6,1
51,0,"b",4,6,1
2608,0,"b",4,5,1
4203,0,"w",3,12,1
