"...1","call","race","education","yearsexp","computerskills"
210,0,"w",2,6,1
1308,0,"b",3,4,1
3084,0,"w",3,4,1
4514,0,"w",2,4,0
2322,0,"w",3,13,1
51,0,"b",4,6,1
1451,0,"w",3,6,1
1098,0,"b",0,4,1
3089,0,"w",3,13,1
1767,0,"b",4,5,1
725,0,"b",4,8,1
2232,0,"w",3,7,1
4080,0,"w",4,5,1
2912,0,"b",3,4,1
4162,0,"b",4,8,1
181,0,"b",4,6,1
386,0,"b",4,20,0
3185,0,"w",4,14,1
4272,0,"b",4,6,1
1580,0,"w",3,16,1
2071,0,"w",4,7,0
2047,0,"w",4,6,1
720,0,"b",4,7,0
951,0,"b",4,6,1
2078,0,"w",4,7,0
2208,1,"w",4,11,1
106,1,"w",4,6,0
744,0,"w",4,4,1
494,0,"w",4,9,1
3885,0,"w",4,2,1
3193,0,"b",4,8,0
4558,0,"b",3,4,1
1996,0,"b",4,6,1
4841,0,"b",4,7,0
1476,0,"b",4,7,1
1345,0,"b",4,7,1
3304,0,"w",4,5,0
1866,0,"w",2,4,0
2280,0,"w",4,26,0
2787,0,"w",4,16,1
4642,0,"w",3,5,1
953,1,"w",4,6,1
2442,0,"w",4,18,1
379,0,"w",2,16,1
3687,0,"w",0,2,1
4801,0,"b",4,8,1
2328,0,"b",1,10,0
3563,0,"b",4,8,1
1179,0,"w",4,9,1
4288,0,"w",4,3,1
1994,0,"w",4,8,1
3777,0,"w",4,4,1
1766,0,"w",4,6,1
791,0,"w",4,9,1
1687,1,"w",4,11,1
3569,0,"b",4,2,1
247,0,"w",3,9,1
1202,0,"b",4,5,1
2413,0,"b",3,9,1
825,0,"w",2,3,1
1783,0,"w",2,12,1
9,0,"b",4,3,1
1515,0,"b",2,11,1
3326,0,"b",4,6,1
4663,0,"w",4,5,1
2983,0,"b",4,4,1
341,0,"w",3,4,1
4208,0,"b",4,6,1
2262,0,"w",4,6,1
3847,0,"b",4,2,1
693,0,"w",3,5,1
4502,0,"w",4,2,1
887,1,"w",3,4,1
1709,0,"w",2,16,1
2451,0,"w",4,6,1
3956,0,"w",4,14,1
1420,0,"w",3,2,1
3220,0,"w",4,8,1
3109,0,"w",4,2,1
1516,0,"w",4,11,1
4107,0,"w",4,6,1
3951,0,"w",4,6,0
778,0,"b",4,9,1
272,1,"b",4,6,1
2984,0,"w",4,6,1
354,0,"b",3,5,0
1067,0,"w",4,25,1
4567,0,"w",4,8,1
2803,0,"w",3,8,1
58,0,"b",2,5,0
1812,0,"w",4,6,1
1526,0,"b",4,2,1
2426,0,"b",4,7,1
2077,0,"b",4,8,0
3378,0,"b",4,2,1
4550,0,"b",4,7,1
1404,0,"b",4,26,0
1096,0,"w",4,7,1
4621,0,"b",4,9,1
3651,0,"w",4,5,0
3846,0,"b",4,2,1
473,1,"w",4,21,1
323,0,"b",3,6,1
348,0,"b",4,11,1
2160,0,"w",4,2,1
2924,0,"b",2,19,0
380,0,"b",4,7,0
4574,0,"b",4,2,1
3115,0,"b",4,8,1
3006,0,"b",4,18,1
702,0,"w",4,6,1
4668,0,"b",4,6,0
3090,0,"w",4,9,1
806,0,"w",4,11,1
2332,0,"w",3,9,1
2728,0,"w",4,8,0
67,0,"b",4,6,1
1995,0,"b",4,7,0
4026,0,"w",4,5,1
4403,0,"w",4,14,1
3762,0,"b",4,4,1
34,0,"b",4,6,1
2708,0,"w",4,6,1
4649,0,"b",1,4,1
205,0,"w",4,12,1
4714,0,"w",1,4,1
3168,0,"b",4,6,1
1088,0,"b",3,6,1
2295,0,"w",4,8,0
1747,0,"w",0,5,1
2463,0,"b",3,1,1
3212,0,"b",4,7,0
843,0,"b",4,7,0
1517,0,"b",4,7,0
2993,0,"b",4,6,1
2224,0,"w",4,11,1
200,0,"b",1,10,0
1746,0,"b",4,6,0
4484,0,"w",4,5,1
2501,0,"b",2,3,1
2671,0,"w",3,4,1
2928,0,"w",4,12,1
3147,0,"w",4,18,1
2048,0,"b",4,11,1
537,0,"w",4,6,0
4771,0,"w",3,6,1
4074,1,"b",3,11,1
1348,0,"b",3,14,1
939,0,"w",4,4,1
3128,0,"w",4,6,1
2737,0,"w",3,4,1
1291,0,"b",4,5,1
2479,0,"w",4,11,1
2282,0,"w",4,7,0
2615,1,"b",3,7,1
1448,1,"b",4,13,0
2736,0,"b",3,2,0
2480,0,"b",3,13,1
4259,0,"w",2,4,0
3426,0,"b",3,4,1
3758,0,"b",4,6,1
3925,0,"b",4,4,1
1929,0,"b",4,8,1
3898,0,"w",4,6,1
1350,0,"w",4,9,1
3970,0,"b",4,5,0
403,0,"w",3,13,1
773,0,"w",3,16,1
4125,0,"w",4,2,1
117,0,"w",3,5,1
1913,0,"w",4,8,1
920,0,"w",3,8,1
453,0,"b",4,6,1
535,0,"b",3,3,1
3074,0,"b",3,5,0
2414,0,"w",4,5,1
3743,0,"b",3,5,1
3112,0,"w",4,8,1
4141,0,"b",3,13,1
3881,0,"w",4,26,0
293,0,"w",4,6,0
2101,0,"b",4,11,1
2509,0,"w",4,5,1
4077,0,"w",2,6,1
4235,0,"b",4,6,1
3969,0,"w",4,6,0
3177,0,"b",4,7,0
662,0,"b",4,6,1
1638,0,"w",4,8,1
1784,0,"b",4,13,1
4342,0,"b",4,2,1
4299,0,"w",3,4,1
234,0,"w",3,6,1
4331,0,"b",4,21,1
2695,1,"w",4,6,1
991,0,"w",3,4,1
2655,0,"w",4,7,0
162,0,"b",4,5,1
779,0,"b",4,6,1
3032,0,"w",3,16,1
4643,0,"w",2,2,0
3243,0,"w",4,6,1
817,0,"w",4,12,1
2324,0,"w",4,5,1
3135,0,"b",4,8,1
3264,0,"b",4,8,1
961,0,"w",4,6,1
2390,0,"b",4,8,1
2817,0,"w",4,4,1
2969,0,"b",4,13,0
3942,0,"b",3,6,1
1460,0,"b",3,7,1
2292,0,"b",4,8,1
803,0,"b",4,9,1
3584,0,"w",4,2,1
4442,0,"w",4,8,1
2187,0,"b",4,6,1
2837,0,"w",4,8,1
4687,0,"w",3,6,1
2471,0,"w",3,4,1
3947,0,"w",4,5,1
2986,0,"w",4,3,1
1959,0,"b",4,10,1
4796,0,"b",4,8,1
3175,0,"b",4,5,1
3058,0,"b",4,26,0
2735,0,"b",3,26,1
1971,0,"w",4,11,1
4730,0,"b",2,5,0
3775,0,"w",4,3,1
3188,0,"w",4,8,1
2691,0,"b",3,13,1
2306,0,"w",4,13,1
1648,0,"w",3,6,1
4113,0,"b",4,8,1
4201,0,"b",4,6,1
3094,0,"b",4,11,1
606,0,"w",3,6,1
3895,0,"w",4,2,1
4698,0,"b",3,4,1
2339,0,"b",4,6,1
3641,0,"w",3,4,1
454,0,"w",3,7,1
360,0,"b",4,2,1
2609,0,"w",4,9,1
1511,0,"b",4,6,1
4645,0,"b",4,2,1
1008,0,"w",4,6,1
152,0,"b",4,9,1
3998,0,"b",2,6,1
3354,0,"w",4,4,0
3619,0,"b",4,6,1
3247,0,"b",4,7,0
2008,0,"b",3,7,1
121,0,"b",4,5,0
504,0,"b",4,6,1
3474,0,"w",4,6,1
1401,0,"b",4,26,0
4295,1,"w",4,15,1
731,0,"b",3,26,1
202,1,"w",4,8,1
987,0,"b",4,7,1
1907,0,"b",4,6,1
1845,0,"b",4,5,1
3540,0,"b",4,8,1
3587,1,"b",4,7,0
3508,0,"w",4,7,0
1835,0,"b",4,4,0
1430,0,"b",4,9,1
2858,0,"w",4,2,1
3227,0,"w",4,8,0
2601,0,"w",4,9,1
3274,0,"b",3,4,1
1544,0,"b",4,8,1
1049,1,"w",4,4,1
4225,0,"w",4,4,1
6,0,"w",4,6,0
2995,0,"w",4,8,1
244,0,"w",4,7,0
1624,0,"b",2,3,1
950,0,"b",4,6,1
2799,0,"b",0,5,1
1631,0,"w",4,7,1
4400,0,"b",3,13,1
319,0,"b",4,6,1
4204,0,"w",4,13,1
1238,0,"b",4,8,1
3883,0,"b",4,8,1
706,0,"w",4,6,1
66,0,"b",4,6,1
2776,0,"b",4,4,1
2056,0,"b",3,3,1
4202,0,"b",4,6,0
2989,0,"b",4,6,1
478,1,"w",3,5,1
4653,0,"w",4,4,1
1538,0,"w",4,7,0
2122,0,"w",4,7,1
3562,0,"b",4,8,1
133,0,"w",4,5,0
2764,0,"b",2,6,1
3891,0,"w",4,2,1
2369,0,"b",3,4,1
3203,0,"b",4,2,1
2667,0,"b",2,19,0
2884,1,"w",4,4,0
124,0,"w",4,8,1
2378,0,"w",3,7,1
633,0,"w",4,8,1
4464,0,"w",4,5,1
1677,0,"w",4,6,1
2716,0,"b",4,2,1
4518,0,"w",3,5,1
593,1,"w",4,9,1
2249,0,"w",4,6,1
870,0,"b",4,9,1
2342,0,"w",4,2,1
353,0,"b",4,8,0
391,0,"w",3,2,1
4323,0,"w",3,12,1
4790,0,"b",4,14,0
4356,0,"w",4,8,0
3815,0,"b",4,2,1
1957,0,"w",4,8,1
1620,0,"b",4,7,1
1805,0,"b",4,44,1
224,0,"b",4,10,1
2902,0,"b",4,8,1
2749,1,"w",3,7,1
1194,0,"w",3,14,1
2011,1,"b",3,13,1
3011,0,"w",4,8,0
4431,0,"w",4,3,1
1797,0,"w",2,4,0
3477,0,"b",4,14,1
4455,0,"b",4,3,1
2219,0,"b",4,9,1
1295,0,"w",3,13,1
3223,0,"w",4,8,0
1200,0,"w",4,4,1
2511,0,"b",4,7,0
3369,0,"w",4,4,1
3200,0,"w",4,6,1
4216,0,"w",4,5,1
789,0,"w",4,7,0
501,0,"w",4,11,1
510,0,"w",4,4,1
3409,0,"w",3,5,1
4459,0,"w",4,5,0
1243,0,"b",2,5,1
1931,0,"w",3,13,1
2020,0,"b",4,6,1
2477,1,"w",4,5,1
834,0,"w",4,2,1
1297,0,"w",3,2,1
529,0,"b",3,1,1
1346,0,"w",3,5,1
756,0,"b",3,4,1
1375,0,"b",4,6,1
302,0,"w",3,3,1
1205,0,"w",3,7,1
3784,0,"w",4,6,0
1262,0,"w",4,8,1
3466,0,"b",4,2,1
1693,0,"b",3,4,1
4270,0,"b",4,6,1
3340,0,"b",4,12,1
4127,1,"w",4,10,1
1963,0,"w",4,3,1
802,0,"w",4,7,1
1594,0,"w",3,8,1
4118,0,"b",3,5,0
2741,0,"w",4,5,1
4585,0,"b",4,6,1
3917,0,"b",2,1,1
2260,0,"w",4,2,1
1529,1,"b",4,2,1
229,0,"w",3,4,1
2580,0,"b",4,8,1
4751,0,"w",4,12,1
294,0,"w",4,7,1
4482,0,"w",4,4,0
2082,0,"b",4,8,1
3533,0,"b",4,6,1
684,0,"b",3,5,1
3678,0,"b",4,4,1
1750,0,"b",4,11,1
4823,0,"w",4,9,1
4553,0,"w",4,12,0
1306,0,"w",3,26,1
974,0,"b",2,3,1
3425,0,"w",2,4,1
1033,0,"b",4,2,1
4478,0,"b",2,18,0
1830,0,"b",3,2,1
110,0,"w",4,6,0
647,0,"b",4,4,1
4086,1,"b",4,8,1
3111,0,"b",4,8,1
3737,0,"w",2,6,0
1434,0,"b",3,5,0
808,0,"b",4,10,1
3763,0,"w",3,3,1
1,0,"w",4,6,1
4630,0,"w",4,13,1
2064,0,"b",4,7,0
1203,0,"b",4,7,1
2730,0,"b",4,6,1
4804,0,"w",4,7,0
2592,0,"b",4,7,0
469,0,"w",3,9,1
65,0,"b",4,6,0
686,0,"w",2,3,1
3673,0,"b",2,2,0
17,0,"w",4,5,0
1934,0,"b",2,13,1
1502,0,"w",4,3,1
3005,0,"b",4,6,1
4654,0,"b",3,4,1
4610,0,"w",4,8,1
3977,0,"w",2,3,0
4627,0,"w",4,20,0
4835,0,"w",4,6,1
2151,0,"b",4,5,1
1377,0,"b",4,14,1
3092,0,"b",4,9,1
3229,0,"w",4,7,0
4792,0,"w",2,5,0
2703,0,"w",4,6,1
2596,0,"w",4,7,0
2100,1,"b",4,5,1
1668,0,"b",4,7,0
3645,1,"w",2,6,1
4139,0,"w",2,16,1
3936,0,"b",4,5,0
511,0,"w",4,4,1
3652,0,"b",3,7,1
375,0,"b",4,2,1
2120,0,"b",3,9,1
3271,0,"b",3,8,1
3581,0,"w",4,7,0
4169,1,"b",4,2,1
49,0,"w",4,4,1
40,0,"w",4,5,0
4430,0,"b",1,4,1
567,0,"w",4,7,0
1249,0,"w",4,18,1
3564,0,"w",4,2,1
3911,0,"w",4,7,0
2105,0,"b",4,7,0
2367,0,"b",4,18,1
3464,0,"b",4,10,1
3685,0,"w",4,6,1
4185,0,"w",4,4,1
161,0,"w",2,1,0
1136,0,"w",1,10,0
2205,1,"w",3,16,1
763,0,"b",3,13,1
4153,0,"w",3,13,1
256,0,"w",4,4,1
3989,0,"w",1,4,1
4047,0,"b",3,3,1
3399,0,"b",4,4,1
104,0,"w",4,4,0
1964,0,"b",4,2,1
2594,0,"b",4,7,0
1444,0,"b",3,13,1
615,0,"b",4,7,1
1454,0,"w",4,4,1
2334,0,"b",4,4,1
1109,0,"w",4,5,1
2214,0,"w",3,26,1
4498,0,"w",4,6,1
837,0,"w",4,7,0
503,0,"b",4,11,1
4460,0,"w",4,10,1
2165,1,"b",4,8,0
3759,0,"w",3,16,1
1841,0,"b",4,6,0
627,0,"w",4,5,1
2758,0,"b",4,10,1
445,0,"b",3,5,1
3105,0,"w",4,6,1
2299,0,"b",4,2,1
2962,0,"b",4,18,1
882,0,"w",4,4,1
3396,1,"b",0,4,1
1407,1,"b",4,5,1
4423,0,"w",3,7,1
3376,0,"b",4,3,1
7,0,"w",4,5,1
2429,0,"w",4,5,1
1081,0,"b",4,8,1
2062,0,"w",4,26,0
2114,0,"b",3,9,1
926,1,"b",4,7,1
2593,0,"b",4,6,1
2418,0,"w",4,6,1
4381,0,"w",4,2,1
2072,0,"w",4,8,0
262,0,"b",4,4,1
2347,0,"w",4,8,0
196,0,"w",4,2,1
4513,0,"b",4,5,1
3522,0,"w",4,6,1
1457,0,"w",4,7,1
1726,0,"b",3,5,1
86,1,"w",2,7,1
2241,0,"b",2,5,1
2683,0,"b",3,16,1
3164,0,"w",4,10,1
300,0,"b",4,7,1
4556,0,"b",3,10,0
1253,0,"b",4,8,0
551,0,"w",4,2,1
2868,0,"b",4,7,1
3043,1,"b",4,11,1
2364,0,"w",4,2,1
634,0,"b",4,6,1
2643,0,"b",4,8,1
2632,0,"w",4,6,0
1565,0,"b",3,7,1
2623,0,"b",3,1,1
1791,0,"b",4,4,1
3493,0,"b",2,15,0
1128,0,"w",4,6,1
35,0,"w",2,4,0
2647,0,"b",4,8,1
4071,1,"w",4,6,0
4348,0,"b",4,8,1
2641,0,"b",4,6,1
1166,1,"b",4,14,1
1654,0,"b",4,4,1
622,0,"w",4,5,1
3750,0,"w",4,6,0
4182,0,"b",4,12,1
3151,0,"w",4,2,1
390,0,"b",4,13,1
568,0,"b",4,2,1
362,0,"w",4,7,0
1923,0,"w",3,4,1
4737,1,"w",4,5,1
2318,1,"b",3,7,1
288,0,"b",4,9,1
4138,0,"w",4,2,1
3260,0,"w",4,26,0
3848,0,"w",4,8,1
15,0,"b",4,5,0
1359,0,"w",4,6,1
2375,0,"w",4,7,0
4110,0,"b",4,7,0
5,0,"w",3,22,1
4408,0,"b",4,4,1
2796,0,"w",3,6,1
4307,0,"b",4,15,1
2126,0,"w",4,11,1
2,0,"w",3,6,1
2068,0,"b",4,8,1
2879,0,"w",4,7,1
3008,0,"b",4,6,1
4795,0,"w",4,6,1
2514,0,"w",4,8,1
286,0,"b",4,6,0
2778,0,"w",4,11,1
781,0,"b",4,6,1
3408,0,"b",4,3,1
1764,0,"w",4,5,0
2278,0,"w",4,7,0
1722,0,"b",4,7,0
3388,0,"b",4,9,1
2348,0,"b",4,14,1
4838,0,"b",4,7,0
1597,0,"w",4,20,1
3148,0,"b",4,18,1
4063,0,"b",2,6,0
1773,0,"w",4,5,0
470,0,"b",4,12,1
2853,0,"w",4,2,1
3893,0,"w",4,6,1
512,0,"b",4,3,1
2516,1,"w",4,7,0
4223,0,"b",3,9,1
2039,0,"w",3,10,1
4860,1,"b",4,6,1
3113,0,"b",4,2,1
4232,0,"b",0,5,1
2283,0,"b",4,6,1
3739,0,"w",4,10,1
2613,1,"w",3,13,1
434,0,"w",4,5,1
748,0,"b",4,4,1
4067,1,"w",4,7,1
1402,0,"w",4,7,0
3653,0,"w",4,5,1
4359,0,"w",4,6,1
4412,1,"w",4,4,1
2936,0,"b",4,11,1
3258,1,"b",4,14,1
2616,1,"w",4,14,1
2570,0,"w",4,6,1
761,0,"w",4,12,1
1688,0,"b",3,4,1
1186,0,"b",3,16,1
2070,0,"b",4,2,1
343,0,"w",4,12,1
3844,0,"b",4,6,1
1761,0,"w",4,11,1
2848,0,"b",4,2,1
3793,0,"b",3,5,1
3960,0,"b",4,7,1
3842,0,"b",4,8,1
960,0,"b",4,11,1
1584,1,"b",4,6,1
4173,0,"w",4,14,1
1997,0,"b",4,5,1
1801,0,"w",4,4,0
4752,0,"b",4,7,1
4525,0,"w",3,3,1
1895,0,"b",4,8,1
4334,0,"w",3,19,1
349,1,"w",4,1,1
732,0,"w",4,8,1
1177,0,"w",3,8,1
4210,0,"b",4,7,1
3987,0,"w",4,6,0
3933,0,"w",4,5,1
1814,0,"b",4,6,1
2245,0,"b",4,4,1
601,1,"w",4,13,0
833,0,"w",4,6,1
3908,0,"b",2,8,0
4257,0,"w",4,6,1
3044,0,"w",4,11,1
3469,0,"w",4,8,1
4368,0,"b",4,14,1
3125,0,"w",4,5,1
282,0,"w",4,7,0
1826,0,"b",1,4,1
3714,0,"b",3,16,1
1506,0,"b",4,14,1
2915,0,"w",0,4,1
668,0,"b",3,21,1
3071,0,"w",2,19,0
1199,0,"b",2,3,1
1045,0,"w",3,4,1
578,1,"w",4,7,0
1300,0,"b",4,14,1
4252,0,"w",4,4,0
1212,1,"w",3,19,1
3360,1,"b",2,4,1
4344,0,"w",4,8,0
2422,0,"w",4,4,1
1070,0,"b",4,6,1
2434,0,"w",4,7,0
516,0,"b",4,5,1
1667,0,"b",4,8,1
3786,0,"b",4,4,0
626,0,"b",4,2,1
4258,0,"b",3,5,1
4788,0,"b",4,5,1
1086,0,"b",4,4,1
505,0,"b",4,6,1
2953,0,"w",4,26,0
3924,0,"w",4,5,0
1562,1,"w",4,8,1
20,0,"b",2,8,0
3102,0,"b",4,6,1
3875,0,"w",4,14,1
392,0,"b",4,14,1
465,0,"b",4,6,1
1156,0,"w",4,7,0
1442,0,"b",4,7,0
3489,0,"b",4,8,1
52,0,"w",4,6,1
1987,0,"w",4,8,1
96,1,"w",2,4,0
500,0,"w",4,5,0
1564,1,"b",2,19,0
566,0,"w",4,7,0
1231,0,"w",4,7,1
801,0,"w",4,12,1
463,0,"b",3,4,1
1671,0,"w",4,10,1
2802,0,"w",4,5,1
3603,0,"w",4,6,1
2550,1,"b",4,14,1
1536,0,"w",4,8,1
2281,0,"b",4,7,0
1741,1,"w",4,5,1
4647,0,"w",4,3,1
3928,0,"w",4,6,1
2059,0,"b",4,15,1
3081,0,"w",4,7,0
4040,0,"b",3,8,1
4179,0,"w",4,11,1
937,0,"b",4,5,1
2981,0,"b",4,7,0
3205,0,"w",4,8,1
1105,0,"b",4,5,0
