"...1","call","race","education","yearsexp","computerskills"
1254,1,"b",4,6,1
1116,0,"b",4,6,1
2419,0,"w",4,3,1
3655,0,"b",3,6,1
1378,0,"w",4,2,1
3750,0,"w",4,6,0
4331,0,"b",4,21,1
2228,1,"w",4,5,1
3180,0,"w",4,26,0
3220,0,"w",4,8,1
974,0,"b",2,3,1
239,0,"w",3,5,1
2592,0,"b",4,7,0
1963,0,"w",4,3,1
269,0,"b",4,4,0
3261,1,"w",4,10,1
4510,0,"b",3,5,1
732,0,"w",4,8,1
1862,0,"b",3,4,1
1301,1,"w",2,16,1
1017,0,"w",4,8,1
3539,0,"b",4,18,1
1291,0,"b",4,5,1
4851,0,"b",3,4,1
396,0,"w",3,2,0
30,0,"b",4,2,1
2301,0,"b",3,7,1
3240,0,"w",4,14,1
1695,1,"w",3,4,1
2827,0,"w",4,5,1
4859,0,"b",4,2,1
2066,0,"w",4,8,1
3334,0,"b",4,6,1
1100,0,"b",4,5,0
4373,0,"w",4,11,1
1609,0,"w",3,8,1
3691,0,"w",4,5,0
2904,1,"w",3,3,1
2134,0,"w",4,4,1
3858,0,"b",4,8,1
2958,0,"w",4,2,1
1266,0,"b",4,6,1
4335,1,"w",3,10,1
4231,0,"b",4,4,1
74,0,"w",4,5,0
1416,0,"b",3,16,1
1558,0,"w",3,2,0
881,0,"w",4,6,1
2281,0,"b",4,7,0
2611,0,"b",3,2,0
70,0,"w",4,5,1
4569,0,"b",4,18,1
3930,0,"b",3,19,1
518,0,"b",3,5,1
3832,0,"w",4,26,0
3675,0,"w",4,4,1
539,0,"w",3,3,1
2982,0,"b",4,7,0
4022,0,"b",4,5,1
2829,0,"b",0,4,1
3678,0,"b",4,4,1
2602,0,"w",4,7,1
2411,0,"b",4,9,1
2785,0,"w",2,2,0
3283,0,"w",2,3,0
3960,0,"b",4,7,1
1408,1,"w",4,7,0
2774,0,"w",3,4,1
843,0,"b",4,7,0
2197,0,"w",3,1,1
964,0,"b",4,6,1
1790,0,"w",4,4,1
3416,0,"b",4,2,1
4742,0,"w",3,21,1
1910,0,"b",4,7,0
3111,0,"b",4,8,1
4214,0,"b",4,15,1
3439,1,"w",4,18,1
90,0,"w",4,4,1
4115,0,"b",2,16,1
2215,0,"b",2,19,0
3376,0,"b",4,3,1
1458,0,"w",4,6,1
2154,0,"w",4,14,1
3228,0,"b",4,6,1
2983,0,"b",4,4,1
1520,1,"w",4,21,1
2918,0,"b",3,8,1
1020,0,"b",4,14,1
2269,0,"b",4,8,1
2101,0,"b",4,11,1
4445,0,"w",4,14,1
2537,0,"w",3,4,1
1361,0,"w",4,11,1
3980,0,"b",4,7,1
2876,0,"b",2,6,1
3714,0,"b",3,16,1
988,1,"w",3,5,1
86,1,"w",2,7,1
511,0,"w",4,4,1
408,0,"b",4,6,1
1406,0,"b",4,18,1
1707,0,"w",3,4,1
3519,0,"b",4,8,1
2833,0,"b",4,5,0
4038,0,"w",3,6,1
4701,0,"b",2,6,1
3726,0,"b",4,5,1
4711,0,"b",3,6,1
4443,0,"w",3,8,1
3436,0,"w",3,9,1
2310,0,"w",3,16,1
